title,overview,release_data,popularity,vote_count,original_language,vote_average
A Hologram for the King,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",2016-04-22,1.7274,1154,en,5.8
Walking Tall,Ex-wrestler and Tennessee Sheriff Buford Pusser walks tall and carries a big stick as he tussles with county-wide corruption and moonshining thugs.,1973-02-22,2.0759,132,en,6.6
Tales from the Crypt: Demon Knight,"Ex-soldier Frank Brayker is the guardian of an ancient key that can unlock tremendous evil; the sinister Collector is a demon who wants the key so he can initiate the apocalypse. On the run from wicked mercenaries for almost 90 years, Brayker finally stops in at a boarding house in New Mexico where — with the help of its residents — he plans to face off against the Collector and his band of ghouls, preventing them from ever seizing the key.",1995-01-13,2.0982,497,en,6.9
Dark Web: Cicada 3301,"Genius hacker Connor discovers Cicada 3301, an online treasure hunt that could be a recruiting tool for a secret society. Soon Conner, art-expert friend Avi, and secretive librarian Gwen are dashing from graffiti sites to ancient libraries to uncover real-world clues. But they must outrun aggressive NSA agents, also hot on the trail of Cicada, who want the glory for themselves.",2021-03-12,2.1155,122,en,5.9
71: Into the Fire,"In August 1950, waiting for UN troops to arrive, the South Korean army assembled to protect Nakdong River. Only 71 student-soldiers are left behind to guard the city of Pohang. Now they are on a mission to defend the country from North Korean troops.",2010-06-16,1.6893,193,ko,7.5
Hemingway & Gellhorn,Writer Ernest Hemingway begins a romance with fellow scribe Martha Gellhorn.,2012-08-27,1.5213,179,en,6.1
Crater,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",2023-05-12,1.8022,269,en,6.6
Cruel Story of Youth,"A budding gangster enthralls a freeloading young woman, soon taking advantage of her knack for hitch-hiking to rob middle-class, middle-aged men.",1960-06-03,1.8207,58,ja,6.7
Alfie,A tale of a philosophical womanizer who is forced to question his seemingly carefree existence.,2004-10-22,1.6294,822,en,5.8
Sharknado 5: Global Swarming,Fin and his wife April travel around the world to save their young son who's trapped inside a sharknado.,2017-08-06,1.7986,331,en,4.7
The Case for Christ,"Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife... with unexpected, life-altering results.",2017-04-07,2.1195,281,en,6.8
Animal Instincts,"A cop and his sexually frustrated wife are struggling to keep their failing marriage intact, when by chance she finds that he is at heart a voyeuristic peeping tom. To satisfy him and herself, his wife has numerous affairs, which her husband watches on closed-circuit televison. However, the pair soon learn that when you play with fire, you'll always get burned.",1992-10-21,1.8089,44,en,5.1
The Big Chill,Seven old college friends gather for a weekend reunion after the funeral of one of their own.,1983-09-30,1.5565,603,en,6.9
The Happytime Murders,"In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",2018-08-22,2.2049,1011,en,5.771
Sofia the First: Once Upon a Princess,"Set in the storybook world of Enchancia, the music-filled movie follows Sofia, an average girl whose life suddenly changes when her mother marries the king and she is whisked off to live in a castle with her mom, new step-father, King Roland II, and step-siblings, Amber and James. Along the way this ordinary girl learns to navigate the extraordinary life of royalty, and in the process makes everyone around her feel special.",2012-11-18,1.928,113,en,7.4
My Mother's Lovers,"Luisa has a habit of bringing her dates home, irritating her son, Cesar. When Cesar invites his best friend Pablo over for a sleepover, Luisa's flirtations become too much to bear, especially as Cesar has his own feelings towards Pablo.",2020-05-29,2.0094,7,es,4.0
The Misfits,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",1961-02-01,1.7879,384,en,6.9
Deadly Punkettes,"A lead singer in a teenage girl-band, mysteriously dies and soon haunts the other members, their new manager and her replacement.",2014-08-09,2.3522,3,en,2.5
Ben 10: Secret of the Omnitrix,"After a battle with Dr. Animo in a power plant, Ben notices something strange is happening with the Omnitrix but doesn't tell anyone. Tetrax arrives and tells them the Omnitrix is broadcasting a self-destruct signal. Tetrax and Ben go to find the creator of the Omnitrix to fix it before it destroys itself and the universe along with it. Gwen stows away to help her cousin.",2007-08-10,2.3955,238,en,7.342
Tokyo Decadence,"A submissive hooker goes about her trade, suffering abuse at the hands of Japanese salarymen and Yakuza types. She's unhappy about her work, and is apparently trying to find some sort of appeasement for the fact that her lover has married.",1992-01-06,1.9713,107,ja,6.0
Eileen,"During a bitter 1964 Massachusetts winter, young secretary Eileen becomes enchanted by Rebecca, the glamorous new counselor at the prison where she works. Their budding friendship takes a twisted turn when Rebecca reveals a dark secret — throwing Eileen onto a sinister path.",2023-12-01,1.7698,251,en,5.99
"Monster High: Frights, Camera, Action!","When Draculaura is led to believe she's the rightful heir to the vampire throne, she and her best ghoulfriends are whisked away to Transylvania for a royal coronation to die for. But they soon discover the hunt for the queen is not over yet. The Ghouls must locate an ancient artifact known as the Vampire's Heart in order to discover the identity of the true Vampire Queen. It's a fangtastic adventure that will lead them from the Tower of Londoom, to a haunted river boat in New Goreleans and finally to the glamorous boo-vie lots of Hauntlywood. Could this be the moment when Draculara finally receives her vampire powers and discovers screams really can come true?",2014-03-25,1.8884,138,en,7.5
Best Kept Secret,"A Newark, New Jersey high school teacher struggles to prepare her students with autism to survive in the brutal world that awaits them once they graduate.",2013-05-04,0.7098,6,en,7.5
Blair Witch,Students on a camping trip discover something sinister is lurking beyond the trees.,2016-09-15,2.0304,1922,en,5.2
Nick Di Paolo: Another Senseless Killing,"If you've never seen Nick Di Paolo live, this intimate setting captures the essence of what makes him stand out from other comics. ""Another Senseless Killing"" is 56 minutes of funny, ferocious, but always clever material. In Di Paolo's fifth special he skillfully mines the humor in such light hearted topics as Suicide and Roadside Memorials while also educating you on the finer points of A**hole Bleaching and the Evolution of Pornography.",2015-02-17,2.5089,1,en,5.5
